,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Port Hedland,0,AU,1569983442,13,-20.31,118.58,100.4,12.75
375,Worpswede,40,DE,1569983444,93,53.22,8.93,48.99,5.82
376,Mineiros,100,BR,1569983445,44,-17.57,-52.55,81.19,6.24
377,Yumen,100,CN,1569983446,17,40.29,97.04,62.45,19.73
378,Yerbogachen,96,RU,1569983447,60,61.28,108.01,34.52,8.66
379,Aconibe,91,GQ,1569983448,99,1.29,10.94,66.03,1.86
380,Emerald,75,AU,1569983450,50,-23.53,148.16,78.8,11.41
381,Puerto Narino,40,CO,1569983451,100,-3.77,-70.38,75.2,2.24
382,Fairbanks,90,US,1569983452,81,64.84,-147.72,45.0,3.47
383,Dhidhdhoo,39,MV,1569983453,74,6.88,73.1,82.67,7.36
384,Lakeside,5,US,1569983454,55,32.86,-116.92,68.0,5.82
385,Lorengau,81,PG,1569983456,75,-2.02,147.27,82.2,1.74
386,Nelson Bay,0,AU,1569983457,38,-32.72,152.14,77.0,8.05
387,Petropavlovsk-Kamchatskiy,40,RU,1569983267,47,53.05,158.65,59.0,13.42
388,Ous,100,RU,1569983459,79,60.91,61.52,49.76,13.74
389,Grand Gaube,40,MU,1569983460,88,-20.01,57.66,73.0,5.82
390,Bonthe,99,SL,1569983461,88,7.53,-12.5,76.92,5.59
391,Swift Current,0,CA,1569983463,86,50.29,-107.8,26.6,6.93
392,Touros,20,BR,1569983464,78,-5.2,-35.46,75.2,6.93
393,Kulai,75,MY,1569983465,94,1.66,103.61,89.01,4.05
394,Timbuktu,33,ML,1569983466,39,16.77,-3.01,89.43,9.73
395,Flin Flon,0,CA,1569983467,63,54.77,-101.88,31.89,4.32
396,Poya,99,NC,1569983469,75,-21.35,165.16,69.35,28.81
397,Hamakita,75,JP,1569983470,51,34.8,137.78,87.01,3.36
398,Paamiut,39,GL,1569983471,59,61.99,-49.67,43.43,7.63
399,Chauk,0,MM,1569983472,68,20.89,94.82,82.05,3.71
400,Fuyang,30,CN,1569983473,52,32.89,115.81,81.62,5.99
401,Tutoia,6,BR,1569983475,86,-2.76,-42.27,73.94,6.08
402,Quatre Cocos,40,MU,1569983283,88,-20.21,57.76,73.0,5.82
403,Victoria,75,BN,1569983219,78,5.28,115.24,80.6,4.7
404,Lypnyazhka,0,UA,1569983478,66,48.45,31.08,51.24,9.73
405,Pangody,100,RU,1569983330,97,65.85,74.49,37.86,9.22
406,Brae,100,GB,1569983480,87,60.4,-1.35,48.2,17.22
407,Manggar,100,ID,1569983481,54,-2.88,108.27,88.03,9.44
408,Myitkyina,100,MM,1569983483,99,25.38,97.4,69.78,1.68
409,Pacifica,1,US,1569983262,51,37.61,-122.49,64.0,16.11
410,Kanigoro,33,ID,1569983485,46,-8.13,112.22,88.8,12.08
411,Sironj,68,IN,1569983486,92,24.1,77.69,71.88,13.18
412,Meulaboh,100,ID,1569983487,77,4.14,96.13,79.55,3.89
413,Ambasamudram,20,IN,1569983488,83,8.71,77.44,82.4,3.36
414,San Cristobal,100,HN,1569983490,91,14.68,-86.92,67.35,2.37
415,Iquique,75,CL,1569983491,72,-20.22,-70.14,60.8,8.05
416,Yining,0,CN,1569983492,39,29.04,114.56,89.94,1.5
417,Codrington,0,AU,1569983493,35,-28.95,153.24,77.0,8.05
418,Hokitika,0,NZ,1569983495,60,-42.72,170.96,53.07,28.19
419,Umkomaas,0,ZA,1569983496,93,-30.21,30.8,59.0,4.5
420,Dunmore Town,0,BS,1569983497,78,25.5,-76.65,81.17,16.49
421,Kenai,90,US,1569983498,81,60.55,-151.26,50.0,9.17
422,Ponta do Sol,0,BR,1569983499,57,-20.63,-46.0,68.91,3.27
423,Robertsport,100,LR,1569983500,88,6.75,-11.37,77.05,6.2
424,Nantucket,1,US,1569983290,82,41.28,-70.1,66.99,16.11
425,Muros,75,ES,1569983242,93,42.77,-9.06,64.0,1.12
426,Yinchuan,49,CN,1569983504,32,38.48,106.21,82.0,1.01
427,Pahalgam,83,IN,1569983505,67,34.03,75.33,54.1,2.89
428,Sisimiut,33,GL,1569983506,74,66.94,-53.67,39.75,7.65
429,Altamira,10,BR,1569983507,75,-3.2,-52.21,75.95,2.26
430,Porto Walter,100,BR,1569983509,98,-8.27,-72.74,70.75,2.06
431,Viedma,90,AR,1569983510,48,-40.81,-62.99,40.94,5.14
432,Mao,40,DO,1569983388,100,19.55,-71.08,80.01,3.13
433,Bathurst,0,AU,1569983512,39,-33.42,149.58,75.99,5.99
434,Nisia Floresta,0,BR,1569983513,78,-6.09,-35.21,78.8,10.29
435,Vangaindrano,100,MG,1569983514,95,-23.35,47.6,71.67,1.97
436,Xichang,73,CN,1569983516,85,27.88,102.25,61.93,4.09
437,Cidreira,1,BR,1569983517,77,-30.17,-50.22,70.03,11.95
438,Tucuman,54,PE,1569983518,78,-17.17,-70.89,49.73,4.41
439,Diffa,100,NE,1569983519,49,13.32,12.61,85.01,9.98
440,Sitka,19,US,1569983520,94,37.17,-99.65,66.0,3.74
441,Santa Maria da Boa Vista,0,BR,1569983522,68,-8.8,-39.83,74.37,14.0
442,Martigny,20,CH,1569983523,87,46.1,7.07,57.2,5.82
443,Isangel,75,VU,1569983524,57,-19.55,169.27,78.8,11.41
444,Dargaville,100,NZ,1569983525,74,-35.94,173.86,56.96,31.61
445,Saint-Joseph,90,FR,1569983527,77,43.56,6.97,64.99,2.24
446,Usogorsk,100,RU,1569983528,85,63.43,48.71,46.77,15.01
447,Teacapan,96,MX,1569983529,71,22.54,-105.74,83.67,6.4
448,Pyay,99,MM,1569983530,79,18.82,95.22,81.59,4.41
449,Saint Andrews,30,NZ,1569983531,29,-44.53,171.19,53.01,14.0
450,San Patricio,72,PY,1569983533,44,-26.98,-56.83,88.73,12.88
451,Jinsha,20,CN,1569983534,70,24.49,118.41,87.8,6.71
452,Tual,98,ID,1569983535,83,-5.67,132.75,79.53,16.55
453,Wittenberge,100,DE,1569983536,93,53.0,11.75,50.0,4.0
454,Ridgecrest,1,US,1569983537,16,35.62,-117.67,68.0,9.17
455,Kearney,90,US,1569983329,93,40.7,-99.08,50.0,13.87
456,Portland,75,US,1569983442,100,43.66,-70.25,62.01,3.36
457,Lira,72,UG,1569983541,95,2.25,32.9,63.73,1.61
458,Deputatskiy,100,RU,1569983542,90,69.3,139.9,21.41,29.1
459,Goundi,100,TD,1569983543,95,9.36,17.37,71.49,5.01
460,Gat,7,SN,1569983544,88,14.69,-16.54,78.8,9.17
461,Severo-Kurilsk,100,RU,1569983546,89,50.68,156.12,46.58,12.08
462,Ouango,100,CD,1569983547,99,4.31,22.55,68.81,2.44
463,Ozuluama,53,MX,1569983548,92,21.12,-98.35,69.08,2.48
464,Marsa Matruh,0,EG,1569983549,88,31.35,27.25,68.0,3.22
465,Evans,90,US,1569983550,100,40.38,-104.69,48.0,8.05
466,Souillac,90,FR,1569983274,93,45.6,-0.6,60.01,5.82
467,Acapulco,40,MX,1569983553,83,16.86,-99.88,80.6,3.36
468,Upata,100,VE,1569983554,89,8.02,-62.41,72.87,4.59
469,Samarai,96,PG,1569983555,92,-10.62,150.67,75.93,9.28
470,Sola,52,TZ,1569983556,70,-3.17,33.8,68.82,0.76
471,Hernani,40,ES,1569983557,82,43.27,-1.98,64.4,10.29
472,Basoko,100,CD,1569983559,97,1.23,23.61,68.61,1.66
473,Ongandjera,100,NA,1569983560,20,-17.88,15.07,57.09,5.3
474,Jiaocheng,0,CN,1569983561,34,24.68,116.14,93.52,1.25
475,Mandalgovi,100,MN,1569983328,66,45.76,106.27,40.42,13.22
476,Ambon,90,FR,1569983563,82,47.55,-2.56,59.0,4.7
477,Tarnogskiy Gorodok,0,RU,1569983564,89,60.5,43.58,39.11,10.09
478,Port-Gentil,96,GA,1569983566,82,-0.72,8.78,76.98,13.22
479,Mehamn,66,NO,1569983567,72,71.03,27.85,35.85,20.07
480,Parauna,31,ID,1569983568,51,-3.82,122.09,89.0,4.52
481,Sao Gabriel da Cachoeira,21,BR,1569983569,73,-0.13,-67.09,78.94,0.54
482,Kuusamo,75,FI,1569983570,74,65.96,29.19,35.6,13.87
483,Ilo,87,PE,1569983572,86,-17.65,-71.34,60.8,11.72
484,Miandrivazo,0,MG,1569983573,82,-19.53,45.46,74.39,1.86
485,Naze,100,NG,1569983574,97,5.43,7.07,72.68,3.6
486,Yunyang,31,CN,1569983575,29,32.84,110.81,75.99,6.06
487,Lakewood,1,US,1569983510,48,33.85,-118.12,68.0,5.82
488,Aracati,28,BR,1569983578,76,-4.56,-37.77,76.13,9.17
489,Mari-Turek,100,RU,1569983579,92,56.79,49.62,51.99,13.96
490,Aklavik,75,CA,1569983580,80,68.22,-135.01,41.0,8.05
491,Hovd,90,NO,1569983581,100,63.83,10.7,48.0,3.36
492,Muzhi,70,RU,1569983582,98,65.4,64.7,39.68,4.65
493,Santa Rita,20,BR,1569983584,88,-7.13,-34.98,75.2,4.7
494,Nhulunbuy,40,AU,1569983585,58,-12.18,136.78,86.0,12.75
495,Smithers,75,CA,1569983539,57,54.78,-127.17,50.0,4.7
496,Beringovskiy,98,RU,1569983587,73,63.05,179.32,42.24,9.33
497,Kerema,30,PG,1569983588,80,-7.96,145.78,78.71,11.05
498,Entre Rios,25,BR,1569983589,98,-11.94,-38.08,67.82,2.8
499,Gambela,100,ET,1569983297,71,8.25,34.59,67.37,3.65
500,Pringsewu,100,ID,1569983592,56,-5.36,104.98,83.33,3.8
501,Elizabeth City,1,US,1569983593,77,36.3,-76.22,73.0,5.82
502,Hearst,100,CA,1569983336,94,49.69,-83.67,38.57,8.14
503,Jiexiu,0,CN,1569983595,47,37.02,111.92,71.58,7.02
504,Haapiti,40,PF,1569983597,58,-17.57,-149.87,82.4,9.17
505,Otradnoye,20,RU,1569983598,93,59.77,30.8,44.01,8.95
506,Wellington,100,NZ,1569983599,87,-41.29,174.78,48.0,41.38
507,Caxias,0,BR,1569983600,55,-4.87,-43.35,86.0,8.05
508,Lasa,0,CY,1569983601,72,34.92,32.53,69.8,9.17
509,Lafia,100,NG,1569983603,93,8.5,8.51,73.34,2.84
510,Chifeng,60,CN,1569983604,43,42.27,118.96,74.91,11.86
511,Kaseda,75,JP,1569983605,94,31.42,130.32,77.0,5.82
512,Tazovskiy,100,RU,1569983525,97,67.47,78.7,36.46,7.58
513,Avenal,1,US,1569983434,41,36.0,-120.13,66.2,6.93
514,Narsaq,100,GL,1569983609,27,60.91,-46.05,51.8,36.91
515,Ileza,0,RU,1569983610,90,61.05,43.9,39.03,9.8
516,Puerto Escondido,98,MX,1569983611,94,15.86,-97.07,72.14,2.39
517,Thinadhoo,69,MV,1569983612,76,0.53,72.93,82.34,17.74
518,Mareeba,40,AU,1569983613,48,-16.99,145.42,87.01,21.92
519,Havelock,1,US,1569983615,64,34.88,-76.9,73.4,4.7
520,Kutum,96,SD,1569983616,59,14.2,24.66,74.55,10.38
521,Eregli,0,TR,1569983617,39,37.51,34.05,55.77,1.7
522,Trelew,0,AR,1569983618,61,-43.25,-65.31,39.72,8.72
523,Kiruna,100,SE,1569983619,90,67.86,20.23,32.0,13.87
524,Tanete,8,ID,1569983621,63,-3.94,119.78,86.59,9.98
525,Rabo de Peixe,20,PT,1569983622,78,37.8,-25.58,73.4,21.92
526,Warrensburg,1,US,1569983623,73,38.76,-93.74,81.0,5.82
527,Almeria,0,ES,1569983624,47,36.84,-2.46,77.0,4.7
528,Jumla,99,NP,1569983625,73,29.28,82.18,56.26,2.1
529,Erenhot,8,CN,1569983627,49,43.65,111.97,64.38,14.0
530,Berezovyy,100,RU,1569983628,95,51.67,135.7,47.78,8.39
531,Mankachar,30,IN,1569983629,81,25.53,89.87,80.15,7.7
532,San Rafael,94,AR,1569983630,34,-34.61,-68.33,47.58,7.71
533,Rio Gallegos,40,AR,1569983631,86,-51.62,-69.22,37.4,12.75
534,North Bend,1,US,1569983632,62,43.41,-124.22,55.4,9.17
535,Nizwa,53,OM,1569983634,60,22.93,57.53,75.47,2.08
536,Ironton,1,US,1569983635,88,38.54,-82.68,78.8,4.21
537,Reinosa,40,ES,1569983636,63,43.0,-4.14,66.2,18.34
538,Darhan,100,MN,1569983637,50,49.49,105.92,38.73,13.38
539,Chancay,90,PE,1569983638,88,-11.56,-77.27,62.6,11.41
540,Fukue,75,JP,1569983640,69,35.03,136.69,82.99,9.17
541,Gura Humorului,0,RO,1569983641,71,47.55,25.89,53.01,6.93
542,Slave Lake,90,CA,1569983379,65,55.28,-114.77,44.6,6.93
543,Verkhoyansk,96,RU,1569983643,39,67.55,133.39,26.31,5.28
544,Ajuchitlan,75,MX,1569983644,68,20.72,-100.02,66.2,11.41
545,Moree,0,AU,1569983646,25,-29.46,149.84,78.01,8.05
546,Helong,0,CN,1569983647,41,25.94,116.13,90.5,2.48
547,Manokwari,64,ID,1569983648,66,-0.87,134.08,80.72,6.82
548,Port Moresby,40,PG,1569983649,66,-9.47,147.16,86.0,11.41
549,Bilibino,96,RU,1569983651,92,68.06,166.44,15.4,3.51
550,Ixtapa,90,MX,1569983652,100,20.71,-105.21,75.0,3.36
551,Sibu,75,MY,1569983653,83,2.29,111.83,80.6,3.36
552,Fomboni,0,KM,1569983654,80,-12.28,43.74,78.85,17.63
553,Alibag,40,IN,1569983655,88,18.64,72.88,80.6,5.82
554,Mersing,87,MY,1569983656,61,2.43,103.84,84.02,3.04
555,Razam,96,IN,1569983658,77,18.45,83.66,82.34,4.14
556,Oistins,20,BB,1569983659,74,13.07,-59.53,82.4,11.41
557,Khani,0,GE,1569983660,100,41.96,42.96,53.6,4.7
